mode,symbol,name,date,source,data_granularity,price_092430,price_0915_ref,price_0919_high,price_0920_ref,change_pct,volume_ratio,score,passed,fail_reasons,note
,sh600301,华锡有色,20260427,pytdx_snapshot,snapshot_polling_approx_092430,52.075,54.04,52.08,52.075,-3.6362,0.087,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603589,口子窖,20260427,pytdx_snapshot,snapshot_polling_approx_092430,24.315,24.77,24.32,24.315,-1.8369,1.0698,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603992,松霖科技,20260427,pytdx_snapshot,snapshot_polling_approx_092430,33.625,33.42,33.63,33.625,0.6134,0.0539,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz002913,奥士康,20260427,pytdx_snapshot,snapshot_polling_approx_092430,49.275,49.12,49.28,49.275,0.3156,0.0529,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603515,欧普照明,20260427,pytdx_snapshot,snapshot_polling_approx_092430,20.665,19.8,20.67,20.665,4.3687,0.1364,0.0,False,volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz002338,奥普光电,20260427,pytdx_snapshot,snapshot_polling_approx_092430,60.215,60.06,60.23,60.215,0.2581,0.0233,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz001301,尚太科技,20260427,pytdx_snapshot,snapshot_polling_approx_092430,78.74,77.24,78.76,78.74,1.942,0.0129,0.0,False,volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603556,海兴电力,20260427,pytdx_snapshot,snapshot_polling_approx_092430,29.995,29.48,30.0,29.995,1.7469,0.4478,0.0,False,volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh605255,天普股份,20260427,pytdx_snapshot,snapshot_polling_approx_092430,108.04,106.8,108.05,108.04,1.161,0.0066,0.0,False,volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603115,海星股份,20260427,pytdx_snapshot,snapshot_polling_approx_092430,58.905,58.51,58.91,58.905,0.6751,0.0837,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
